         mission          |         num_station          |    jour    |  heure   |     lat     |    lon     | profondeur |    chla     |     mes      |    doc     |    poc     
--------------------------+------------------------------+------------+----------+-------------+------------+------------+-------------+--------------+------------+------------
 Guyane2009               | MODIS-A                      | 2009-10-15 | 17:05:00 |       5.774 |    -53.344 |          1 |   4.9496417 |          3.9 |            |           
 Guyane2009               | T2S1                         | 2009-10-13 | 14:37:00 |       4.678 |     -51.94 |          1 |   11.249554 |       325.56 |            |           
 Guyane2009               | T2S3                         | 2009-10-13 | 16:30:00 |       4.743 |    -51.963 |          1 |    5.849822 |        10.47 |            |           
 Guyane2009               | T2S4                         | 2009-10-13 | 13:11:00 |      4.8154 |    -51.944 |          1 |    2.605422 |         10.8 |            |           
 Guyane2009               | T2S5                         | 2009-10-13 | 12:20:00 |       4.851 |    -51.917 |          1 |   1.8379931 |        10.67 |            |           
 Guyane2009               | T3S1                         | 2009-10-12 | 11:45:00 |       4.982 |     -52.18 |          1 |   1.8515209 |        10.13 |            |           
 Guyane2009               | T3S2                         | 2009-10-12 | 13:24:00 |       5.065 |    -52.173 |          1 |   1.1163737 |         4.23 |            |           
 Guyane2009               | T3S3                         | 2009-10-12 | 16:43:00 |       4.881 |    -52.196 |          1 |   10.349373 |        71.33 |            |           
 Guyane2009               | T3S4                         | 2009-10-12 | 17:33:00 |       4.864 |    -52.232 |          1 |     9.78676 |          124 |            |           
 Guyane2009               | T3S5                         | 2009-10-12 | 18:23:00 |      4.8437 |    -51.285 |          1 |   14.250154 |        31.67 |            |           
 Guyane2009               | T4S1                         | 2009-10-14 | 18:26:00 |       5.195 |    -52.618 |          1 |   13.387482 |       144.67 |            |           
 Guyane2009               | T4S2                         | 2009-10-14 | 18:51:00 |       5.213 |    -52.609 |          1 |    9.843697 |        25.17 |            |           
 Guyane2009               | T4S3                         | 2009-10-14 | 19:24:00 |       5.248 |    -52.601 |          1 |    8.850423 |         6.87 |            |           
 Guyane2009               | T4S4                         | 2009-10-14 | 19:55:00 |       5.275 |    -52.598 |          1 |    4.712094 |            6 |            |           
 Guyane2009               | T4S5                         | 2009-10-14 | 20:43:00 |       5.304 |    -52.582 |          1 |    3.424786 |         9.58 |            |           
 Guyane2009               | T6S1                         | 2009-10-16 | 14:37:00 |       5.781 |    -53.952 |          1 |    8.248953 |           68 |            |           
 Guyane2009               | T6S3                         | 2009-10-16 | 16:43:00 |       5.832 |    -53.893 |          1 |   7.7251973 |        12.93 |            |           
 Guyane2009               | T5S3                         | 2009-10-15 | 13:20:00 |       5.615 |    -52.999 |          1 |     7.83772 |        17.33 |            |           
 Guyane2009               | T6S5                         | 2009-10-16 | 19:16:00 |       5.979 |    -53.824 |          1 |    17.21817 |         5.83 |            |           
 Guyane2009               | T5S5                         | 2009-10-15 | 15:18:00 |       5.691 |    -53.014 |          1 |   2.6121233 |         4.93 |            |           
 Guyane2009               | T7S1                         | 2009-10-17 | 13:09:00 |       5.201 |    -52.577 |          1 |   15.000305 |        15.27 |            |           
 Guyane2009               | T7S2                         | 2009-10-17 | 14:00:00 |       5.169 |    -52.497 |          1 |    4.011954 |         6.87 |            |           
 Guyane2009               | T7S3                         | 2009-10-17 | 15:30:00 |       5.107 |    -52.381 |          1 |    8.400332 |        16.67 |            |           
 Guyane2009               | T7S4                         | 2009-10-17 | 17:42:00 |        5.04 |    -52.309 |          1 |    6.649532 |         7.95 |            |           
 Guyane2009               | T7S5                         | 2009-10-17 | 19:00:00 |       4.861 |    -52.226 |          1 |    16.42559 |        75.33 |            |           
 Guyane2009               | T2S2                         | 2009-10-13 | 15:56:00 |       4.708 |    -51.964 |          1 |             |        30.17 |            |           
 Guyane2009               | T5S1                         | 2009-10-15 | 12:04:00 |       5.533 |    -53.007 |          1 |             |           36 |            |           
 Guyane2009               | T5S2                         | 2009-10-15 | 12:44:00 |       5.584 |    -53.005 |          1 |             |           27 |            |           
 Guyane2009               | T5S4                         | 2009-10-15 | 14:33:00 |       5.667 |     -53.01 |          1 |             |         5.57 |            |           
 Guyane2009               | T6S2                         | 2009-10-16 | 15:43:00 |       5.824 |    -53.927 |          1 |             |          136 |            |           
 Guyane2009               | T6S4                         | 2009-10-16 | 18:21:00 |       5.897 |    -53.852 |          1 |             |         6.62 |            |           
 Guyane2009               | T1S1                         | 2009-10-13 | 18:48:00 |       4.589 |    -51.686 |          1 |             |              |            |           
 Guyane2009               | T1S2                         | 2009-10-13 | 19:36:00 |       4.552 |    -51.674 |          1 |             |              |            |           
