mission;datetime;lat;lon;doc;acdom412
Dyphyma;2012-04-28T22:08;51.0042;1.19165;27.932016;0.1217
Dyphyma;2012-04-28T22:08;51.0042;1.19165;27.932016;0.1217
Guyane2010;2010-10-21T17:32;4.95755;-52.2201;35.993248;0.9036587
Guyane2010;2010-10-21T17:32;4.95755;-52.2201;35.993248;0.9036587
Moore_gulf_of_maine;2007-09-11T12:10;43.03317;-70.56865;48.419827;-999.99
Moore_gulf_of_maine;2007-09-11T12:10;43.03317;-70.56865;48.419827;-999.99
AMAZOMIX;2021-09-03T21:34;1.3425;-46.0243;48.686;-999.99
Guyane2010;2010-10-18T19:07;5.28518;-52.63717;50.06904;0.21435136
Guyane2010;2010-10-18T19:07;5.28518;-52.63717;50.06904;0.21435136
Guyane2010;2010-10-20T13:36;5.214;-52.59377;51.598167;0.27937302
Guyane2010;2010-10-20T13:36;5.214;-52.59377;51.598167;0.27937302
Dyphyma;2012-04-27T20:26;51.083;1.36013;51.8491;0.1283
Dyphyma;2012-04-27T20:26;51.083;1.36013;51.8491;0.1283
Guyane2010;2010-10-17T18:55;5.27732;-52.64027;51.872623;0.2961848
Guyane2010;2010-10-17T18:55;5.27732;-52.64027;51.872623;0.2961848
Guyane2010;2010-10-20T15:36;5.26968;-52.55632;51.951042;0.25281215
Guyane2010;2010-10-20T15:36;5.26968;-52.55632;51.951042;0.25281215
Guyane2010;2010-10-18T12:19;5.18585;-52.52258;53.048878;0.24400325
Guyane2010;2010-10-18T12:19;5.18585;-52.52258;53.048878;0.24400325
Dyphyma;2012-04-21T11:47;50.9911;1.45392;55.221016;0.1412
Dyphyma;2012-04-21T11:47;50.9911;1.45392;55.221016;0.1412
Dyphyma;2012-04-21T05:16;50.987;1.04258;56.514893;0.1579
Dyphyma;2012-04-21T05:16;50.987;1.04258;56.514893;0.1579
Guyane2010;2010-10-17T15:12;5.33677;-52.68803;57.16575;0.23012736
Guyane2010;2010-10-17T15:12;5.33677;-52.68803;57.16575;0.23012736
Dyphyma;2012-04-21T08:09;51.0098;1.2337;58.318474;0.1176
Dyphyma;2012-04-21T08:09;51.0098;1.2337;58.318474;0.1176
Moore_gulf_of_maine;2004-10-29T12:52;42.9943;-70.42183;60.373528;0.541515
Moore_gulf_of_maine;2004-10-29T12:52;42.9943;-70.42183;60.373528;0.541515
Guyane2010;2010-10-19T12:50;5.24055;-52.59;60.655293;0.23680599
Guyane2010;2010-10-19T12:50;5.24055;-52.59;60.655293;0.23680599
Guyane2010;2010-10-20T15:36;5.26968;-52.55632;61.282623;0.096726
